
C:\Users\Nick\Code\lolmath>python -m cProfile -s cumulative tests.py 
         1985685 function calls (1956127 primitive calls) in 3.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 urllib2.py:1102(ProxyDigestAuthHandler)
        1    0.000    0.000    0.000    0.000 Cookie.py:229(CookieError)
        1    0.000    0.000    0.000    0.000 urllib2.py:539(HTTPErrorProcessor)
        1    0.000    0.000    0.000    0.000 hex_codec.py:65(StreamReader)
        1    0.000    0.000    0.000    0.000 utf_8.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 item.py:202(DMP)
        1    0.000    0.000    0.000    0.000 six.py:132(_MovedItems)
        1    0.000    0.000    0.000    0.000 exceptions.py:70(TooManyRedirects)
        1    0.000    0.000    0.000    0.000 httplib.py:1259(NotConnected)
        1    0.000    0.000    0.000    0.000 exceptions.py:94(StreamConsumedError)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 exceptions.py:90(ContentDecodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:46(DecodeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:82(InvalidURL)
        1    0.000    0.000    0.000    0.000 exceptions.py:124(ClosedPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:90(TimeoutStateError)
        1    0.000    0.000    0.000    0.000 tokenize.py:146(TokenError)
        1    0.000    0.000    0.000    0.000 exceptions.py:86(ChunkedEncodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:115(NewConnectionError)
        1    0.000    0.000    0.000    0.000 six.py:54(__len__)
        1    0.000    0.000    0.000    0.000 exceptions.py:189(HeaderParsingError)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 exceptions.py:51(ProtocolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:66(URLRequired)
        1    0.000    0.000    0.000    0.000 exceptions.py:175(ResponseNotChunked)
        1    0.000    0.000    0.000    0.000 exceptions.py:62(ReadTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:34(ConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:165(SystemTimeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:155(SubjectAltNameWarning)


