
C:\Users\Nick\Code\lolmath>python -m cProfile -s cumulative tests.py 
         1985685 function calls (1956127 primitive calls) in 3.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1350    0.001    0.000    0.002    0.000 item.py:73(onhit)
        1    0.001    0.001    0.002    0.002 models.py:8(<module>)
20458/20109    0.001    0.000    0.001    0.000 {len}
      226    0.001    0.000    0.001    0.000 rune.py:5(__init__)
     6546    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     6890    0.001    0.000    0.001    0.000 {setattr}
       75    0.000    0.000    0.001    0.000 tests.py:163(indent)
      150    0.000    0.000    0.001    0.000 kindred.py:105(shield)
    11404    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.001    0.001    0.001    0.001 urllib2.py:76(<module>)
       75    0.000    0.000    0.001    0.000 re.py:148(sub)
        1    0.001    0.001    0.001    0.001 six.py:1(<module>)
     6525    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
    10907    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1353    0.001    0.000    0.001    0.000 warnings.py:322(__init__)
        1    0.000    0.000    0.001    0.001 decoder.py:17(_floatconstants)
        1    0.000    0.000    0.001    0.001 {method 'decode' of 'str' objects}
     1353    0.001    0.000    0.001    0.000 warnings.py:359(__exit__)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
     6525    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      675    0.001    0.000    0.001    0.000 pprint.py:85(__init__)
      758    0.001    0.000    0.001    0.000 stat.py:49(S_ISREG)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        2    0.001    0.000    0.001    0.000 response.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _parseaddr.py:7(<module>)
     1898    0.000    0.000    0.001    0.000 sre_parse.py:204(match)
     6525    0.001    0.000    0.001    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
      450    0.000    0.000    0.001    0.000 champion.py:190(shield)
       75    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     3648    0.001    0.000    0.001    0.000 champion.py:367(<lambda>)
        4    0.001    0.000    0.001    0.000 __init__.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {zip}
      485    0.001    0.000    0.001    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.001    0.001 auth.py:8(<module>)
        1    0.001    0.001    0.001    0.001 mimetypes.py:24(<module>)
        1    0.000    0.000    0.001    0.001 url.py:1(<module>)
        1    0.000    0.000    0.001    0.001 api.py:12(<module>)
      871    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
     3450    0.001    0.000    0.001    0.000 champion.py:307(fget)
        1    0.001    0.001    0.001    0.001 __init__.py:5(<module>)
     3150    0.001    0.000    0.001    0.000 {any}
        1    0.001    0.001    0.001    0.001 pyopenssl.py:45(<module>)
     2736    0.001    0.000    0.001    0.000 champion.py:382(<lambda>)
        1    0.000    0.000    0.001    0.001 tests.py:167(print_table)
      794    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.001    0.001 certs.py:13(<module>)
     2876    0.001    0.000    0.001    0.000 {isinstance}
     3375    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
     1415    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 kindred.py:7(__init__)
        1    0.000    0.000    0.000    0.000 urllib2.py:854(AbstractBasicAuthHandler)
     2025    0.000    0.000    0.000    0.000 damage.py:63(total)
      273    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       75    0.000    0.000    0.000    0.000 champion.py:212(HPR)
        1    0.000    0.000    0.000    0.000 {_codecs.lookup}
     1314    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
        1    0.000    0.000    0.000    0.000 exceptions.py:4(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:49(filterwarnings)
     1752    0.000    0.000    0.000    0.000 item.py:181(perc_APen)
      913    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
        1    0.000    0.000    0.000    0.000 sessions.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ssl_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 hex_codec.py:8(<module>)
     1632    0.000    0.000    0.000    0.000 item.py:113(AS)
     4275    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 cookies.py:7(<module>)
      758    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
       42    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(<module>)
     1350    0.000    0.000    0.000    0.000 item.py:77(onhit_mult)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       75    0.000    0.000    0.000    0.000 champion.py:171(LS)
      166    0.000    0.000    0.000    0.000 sre_parse.py:234(_class_escape)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
      866    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
       75    0.000    0.000    0.000    0.000 champion.py:258(MPR)
     1516    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      485    0.000    0.000    0.000    0.000 urllib.py:1212(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookielib.py:1201(CookieJar)
     1330    0.000    0.000    0.000    0.000 {min}
       63    0.000    0.000    0.000    0.000 {all}
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
     1512    0.000    0.000    0.000    0.000 {chr}
      631    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      213    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
       14    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E229480}
        4    0.000    0.000    0.000    0.000 ssl.py:111(_import_symbols)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1560(getLogger)
     1800    0.000    0.000    0.000    0.000 champion.py:149(crit_mult)
        6    0.000    0.000    0.000    0.000 __init__.py:1018(getLogger)
      529    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'writerows' of '_csv.writer' objects}
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 item.py:1(<module>)
